"year","month","pp","anom"
1994,7,454.737129618,142.474134116793
1994,8,82.29072121467,-191.492197685612
1994,9,344.2437976265,177.215668043195
1994,10,194.77461064,59.5944413790264
1994,11,115.818849836,27.9934059260388
1994,12,117.84171563017,50.5732452833594
1995,1,21.096547955,-26.8251126448905
1995,2,1.1577889805,-46.4233038367269
1995,3,58.892953238,-1.89949748529386
1995,4,219.24122999265,77.3928741027546
1995,5,110.9679399018,-208.850983551393
1995,6,662.445314958,258.288221537569
1995,7,509.3049831367,197.041987635493
1995,8,437.443329854,163.660410953718
1995,9,86.5615309978,-80.4665985855053
1995,10,114.96965738,-20.2105118809736
1995,11,15.53410466736,-72.2913392426012
1995,12,0.48381769,-66.7846526568106
1996,1,31.9033299583,-16.0183306415905
1996,2,56.1454440648,8.56435124757309
1996,3,117.09215608,56.2997053567061
1996,4,134.55811168,-7.29024420989541
1996,5,180.482370024,-139.336553429193
1996,6,219.14555263041,-185.011540790021
1996,7,50.72284556,-261.540149941207
1996,8,228.244498762,-45.5384201382824
1996,9,90.89109952,-76.1370300633053
1996,10,85.27115027953,-49.9090189814436
1996,11,99.0494555646,11.2240116546388
1996,12,42.3820001509662,-24.8864701958444
1997,1,77.95538675582,30.0337261559295
1997,2,49.727778518,2.14668570077308
1997,3,17.60012781351,-43.1923229097839
1997,4,525.98226354,384.133907650105
1997,5,170.609435896053,-149.20948755714
1997,6,597.402475312803,193.245381892372
1997,7,357.2009040072,44.9379085059932
1997,8,210.37855327,-63.4043656302824
1997,9,227.8560170754,60.8278874920947
1997,10,210.25035395474,75.0701846937664
1997,11,138.731284764276,50.9058408543148
1997,12,80.618966232,13.3504958851894
1998,1,14.788062070943,-33.1335985289475
1998,2,18.038422534,-29.5426702832269
1998,3,29.177082893,-31.6153678302939
1998,4,81.32730678,-60.5210491098954
1998,5,112.09495697,-207.723966483193
1998,6,125.60787498597,-278.549218434461
1998,7,160.693923245,-151.569072256207
1998,8,184.516317742,-89.2666011582824
1998,9,90.8995376801,-76.1285919032053
1998,10,7.664363502,-127.515805758974
1998,11,38.26503392589,-49.5604099840712
1998,12,55.4435938546,-11.8248764922106
1999,1,21.53253118,-26.3891294198905
1999,2,34.13317384,-13.4479189772269
1999,3,45.8995706762,-14.8928800470939
1999,4,56.1364019598,-85.7119539300954
1999,5,220.22573310199,-99.5931903512027
1999,6,486.2487507,82.0916572795693
1999,7,103.248537568,-209.014457933207
1999,8,343.35311449411,69.5701955938276
1999,9,314.72475457771,147.696624994405
1999,10,41.17605129582,-94.0041179651536
1999,11,34.2071989475,-53.6182449624612
1999,12,23.139240856,-44.1292294908106
2000,1,40.9038319272,-7.01782867269047
2000,2,189.632636171782,142.051543354555
2000,3,53.6461693397,-7.14628138359386
2000,4,108.1455247357,-33.7028311541954
2000,5,112.1662487305,-207.652674722693
2000,6,789.039775415606,384.882681995175
2000,7,197.81624270989,-114.446752791317
2000,8,252.8459467171,-20.9369721831823
2000,9,298.27711233,131.248982746695
2000,10,84.119960419315,-51.0602088416586
2000,11,93.2193760751,5.39393216513882
2000,12,84.04550458008,16.7770342332694
2001,1,141.9505653015,94.02890470161
2001,2,21.277561557,-26.3035312602269
